               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.7688,              9.9076,              2.3097,             0.49761,            0.066921,             0.13816,            0.051542,                   0,                   0,                   0,             0.07011,           0.0033211,           0.0033211
                   1,              3.2793,              2.7197,              1.4903,             0.54991,             0.41286,             0.43858,             0.20108,                   0,                   0,                   0,            0.039451,           0.0059957,           0.0059957
                   2,               2.895,              2.4196,              1.3243,             0.64167,             0.34431,             0.44946,             0.21545,                   0,                   0,                   0,           0.0081323,           0.0080102,           0.0080102
                   3,              2.6781,              2.1272,              1.2605,              0.6597,             0.55084,             0.60758,             0.30881,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,              2.5185,               1.932,              1.2205,             0.64195,             0.53275,             0.58617,             0.27959,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,              2.3489,              1.7488,              1.1998,             0.75012,             0.65372,              0.7278,             0.38149,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,              2.3025,              1.6762,              1.1805,             0.78302,             0.68807,              0.7644,              0.4197,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,              2.2397,              1.6032,              1.1656,             0.79358,             0.70186,             0.79069,             0.43066,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,              2.1884,              1.5447,               1.155,             0.82456,             0.74126,             0.82786,             0.49965,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,              2.1239,              1.4709,              1.1428,             0.84402,             0.75869,             0.84339,             0.50813,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
